"","code","day","p.young","p.old","weekdays"
"551",19,2018-04-11,89672.445382234,51682.5497825087,"수"
"552",19,2018-04-12,90979.3336064731,52951.1909434497,"목"
"553",19,2018-04-13,88803.8379033885,53355.5668551808,"금"
"554",19,2018-04-14,81731.9176842689,53323.943207966,"토"
"555",19,2018-04-15,75142.5839561173,54242.4867303614,"일"
"556",19,2018-04-16,66223.1037793987,52962.8239653819,"월"
"557",19,2018-04-17,64245.7877234314,51385.2802195737,"화"
"558",19,2018-04-18,64576.6035444453,50466.0266688419,"수"
"559",19,2018-04-19,63888.0819111839,50587.1699688062,"목"
"560",19,2018-04-20,66241.4271654976,51536.2812427382,"금"
"561",19,2018-04-21,65267.170206465,50563.9421011479,"토"
"562",19,2018-04-22,62503.2715064291,50248.5264588556,"일"
"563",19,2018-04-23,67454.6382015839,48798.8055562999,"월"
"564",19,2018-04-24,64751.4781773901,48990.0438108877,"화"
"565",19,2018-04-25,64440.4249683055,48750.379066637,"수"
"566",19,2018-04-26,67616.2177263895,48942.1518070779,"목"
"567",19,2018-04-27,67148.3921133954,49521.2114217053,"금"
"568",19,2018-04-28,63916.0424405521,49226.2216798689,"토"
"569",19,2018-04-29,62476.8260743422,48955.2392420966,"일"
"570",19,2018-04-30,61127.4213666646,49302.1137250192,"월"
"571",20,2018-04-01,4519.3528040913,4406.24369544578,"일"
"572",20,2018-04-02,4558.29182798222,4605.14279158194,"월"
"573",20,2018-04-03,4572.38692060491,4572.99945088349,"화"
"574",20,2018-04-04,4551.70822280498,4561.89077250477,"수"
"575",20,2018-04-05,4591.69114270269,4544.34074918038,"목"
"576",20,2018-04-06,4608.39172491308,4497.00907637535,"금"
"577",20,2018-04-07,4598.36884515543,4499.43097899202,"토"
"578",20,2018-04-08,4550.46090091447,4493.89052507219,"일"
"579",20,2018-04-09,4573.56804913949,4628.026020004,"월"
"580",20,2018-04-10,4542.94960032508,4576.92033381039,"화"
"581",20,2018-04-11,4561.52181233925,4642.17531444662,"수"
"582",20,2018-04-12,4574.73666286935,4655.06649595927,"목"
"583",20,2018-04-13,4609.97159463904,4634.85526653351,"금"
"584",20,2018-04-14,4695.63925283767,4654.47636425232,"토"
"585",20,2018-04-15,4484.99574266011,4655.99597305599,"일"
"586",20,2018-04-16,4475.12916904241,4763.44907552469,"월"
"587",20,2018-04-17,4601.78656500248,4689.23245090403,"화"
"588",20,2018-04-18,4659.50141828439,4676.86484372783,"수"
"589",20,2018-04-19,4865.35263935003,4645.38357633863,"목"
"590",20,2018-04-20,4953.63299886022,4620.66478794085,"금"
"591",20,2018-04-21,4934.04135704421,4599.52480475674,"토"
"592",20,2018-04-22,4693.2396316877,4530.94826813585,"일"
"593",20,2018-04-23,4680.11894639614,4647.50001536588,"월"
"594",20,2018-04-24,4738.49205904523,4658.50781255695,"화"
"595",20,2018-04-25,4686.19344675325,4658.80920157301,"수"
"596",20,2018-04-26,4732.69524692229,4721.25893665603,"목"
